city_name,city_code
Ангилья,AXA
Адрар,AZR
Алжир,ALG
Аннаба,AAE
Антигуа,ANU
Амбриз,AZZ
Андуло,ANL
Абингдон,ABG
Агнью,AGW
Аделаида,ADL
Айерс-рок (Улуру),AYQ
Александрия,AXL
Альфа,ABH
Амата,AMT
Американ-Ривер,RCN
Аммару,AMX
Ангус-Даунс,ANZ
Андамука,ADO
Арамак,AXC
Арарат,ARY
Аргил-Даунс,AGY
Аргиль,GYL
Армидейл,ARM
Аррабэри,AAB
Баду-Айленд,BDD
Балкануна,LCN
Баллина,BNK
Балраналд,BZD
Бамага,ABM
Банбери,BUY
Бандаберг,BDB
Банияла,BYX
Баркалдин,BCI
Баркли-Даунс,BKP
Батавиа-Даунс,BVW
Батерст,BHS
Батерст-Айленд,BRT
Беверли-Спрингс,BVZ
Бедури,BEU
Бедфорд-Даунс,BDW
Белбурн,BXF
Беналла,BLN
Бендиго,BXG
Берни,BWT
Биг-Белл,BBE
Бигль-Бэй,BEE
Бизант,BZP
Бикертон-Айленд,BCZ
Биллилуна,BIW
Билоэла,ZBL
Бирдсвилл,BVI
Битута,BTX
Блумфильд,BFC
Блэколл,BKQ
Блэкуотер,BLT
Бойгу-Айленд,GIC
Боллон,BLS
Болуарра,BCK
Борролула,BOX
Боуэн,ZBO
Брайт,BRJ
Брайтон-Даунс,BHT
Брисбен,BNE
Брокен-Хилл,BHQ
Бруаррина,BWQ
Брум,BME
Брэмптон остров,BMP
Брюнетте-Даунс,BTD
Булиа,BQL
Булимба,BIP
Бурке,BRK
Бурктаун,BUC
Бэйрнсдейл,BSJ
Бэлго-Хиллз,BQW
Бэнкстаун,BWU
Бэрроу-Айленд,BWB
Бюссельтон,BQB
Баку,BAK
Батна,BLJ
Бежайа,BJA
Бешар,CBH
Бискра,BSK
Борж-Бажи-Мохтар,BMW
Буссаада,BUJ
Барбуда,BBQ
Вена,VIE
Бенгела,BUG
Вагга-Вагга,WGA
Вайалла,WYA
Валгетт,WGE
Валлал,WLA
Вангаратта,WGT
Варравагин,WRW
Варракнабил,WKB
Варрнамбул,WMB
Ватерлоо,WLO
Вейверни,WAN
Вейв-Хилл,WAV
Вейпа,WEI
Венрук,VNR
Вест-Вьялонг,WWY
Ви-Ваа,WEW
Виктория-Ривер,VCD
Вилканиа,WIO
Вилуна,WUN
Виндарра,WND
Виндора,WNR
Виндхэм,WYN
Винтон,WIN
Виттенум,WIT
Воллогорэнг,WLL
Вондай,WDI
Вондула,WON
Вочоуп,WAU
Вудгрин,WOG
Вуди-Вуди,WWI
Вудинна,WUD
Вуллонгонг,WOL
Вумера,UMR
Вако-Кунго,CEO
Грац,GRZ
Гамильтон,HLT
Гамильтон-Айленд,HTI
Ганнеда,GUH
Гарден-Пойнт,GPN
Гаскойн-Джанкшн,GSC
Гейнда,GAH
Гембула,GBP
Гибб-Ривер,GBV
Гилонг,GEX
Гимпи,GYP
Гладстон,GLT
Гленгил,GLG
Глен-Иннс,GLI
Гленормистон,GLM
Голдворси,GLY
Голд-Коуст,OOL
Гордон-Даунз,GDD
Госфорд,GOS
Гоув,GOV
Гранитс,GTS
Графтон,GFN
Грегори-Даунз,GGD
Грейт-Кеппел-Айленд,GKL
Гренфелл,GFE
Гринвэйл,GVP
Гриффит,GFF
Грут-Эйландт,GTE
Гулберн,GUL
Гулберн-Айленд,GBL
Гундивинди,GOO
Гара-Джебилет,GBB
Гардая,GHA
Гянджа,KVD
Даббо,DBO
Дайсарт,DYA
Далгаранга,DGD
Далканинна,DLK
Данбар,DNB
Дандакот,JAD
Данк-Айленд,DKI
Дарвин,DRW
Дарнли-Айленд,NLF
Девонпорт,DPO
Дейвпорт-Даунс,DVP
Дейдрим-Айленд,DDI
Дейли-Вотерс,DYW
Дейли-Ривер,DVR
Дей-Трип-Мистери,ZZW
Делби,DBY
Делиссавиль,DLV
Дельта-Даунс,DDN
Дениликуин,DNQ
Денхем,DNM
Дерби,DRB
Дери,DRR
Дерхем-Даунс,DHD
Джабиру,JAB
Джералдтон,GET
Джорджтаун,GEE
Джулиа-Крик,JCK
Джунда,JUN
Джурьен-Бей,JUR
Диамантина-Лейкс,DYM
Дианополис,DNO
Дикси,DXD
Дирранбанди,DRN
Доан-Айленд,DAJ
Докер-Ривер,DKV
Донгава,DOX
Дорунда-Стейшн,DRD
Дос-Лагунас,DON
Драйсдейл-Ривер,DRY
Драмдуфф,DFP
Дуган,DNG
Думаджи,DMD
Джанет,DJG
Джиджель,GJL
Джамба,JMB
Дирико,DRC
Дундо,DUE
Зальцбург,SZG
Инсбрук,INN
Инвервей,IVW
Инверелл,IVR
Ингэм,IGH
Инджун,INJ
Индулкана,IDK
Инкерман,IKP
Иннаминка,INM
Иннисфейл,IFL
Исисфорд,ISI
Итаперуна,ITP
Иффли,IFF
Иллизи,VVZ
Ин-Аменас,IAM
Ин-Геззам,INF
Ин-Салах,INZ
Йилирри,KYF
Йорк-Айленд,OKR
Йорктаун,ORR
Калбарри,KAX
Калгурли,KGI
Калкурунг,KFG
Калповар,KPP
Калумбуру,UBU
Калундра,CUD
Камаран-Даунз,KDS
Камбалда,KDB
Камден,CDU
Камилерой,KML
Камувил,CML
Камфилд,CFI
Канберра,CBR
Каноби,CBY
Карлтон-Хилл,CRY
Карнарвон,CVQ
Карпентариа-Даунс,CFP
Каррата,KTA
Карумба,KRB
Касино,CSI
Катаннинг,KNI
Катерин,KTR
Каура,CWT
Кейгуна,CGV
Кейп-Баррен,CBI
Кейп-Флеттери,CQP
Кемпси,KPS
Керанг,KRA
Кернс,CNS
Кимберли-Даунз,KBD
Кинг-Айленд,KNS
Кингарой,KGY
Кингз-Каньон,KBJ
Кингз-Крик,KCS
Кингскот,KGC
Киркимби,KBB
Клани,CZY
Клермонт,CMQ
Клив,CVC
Клифтон-Хиллз,CFH
Клонкарри,CNJ
Кобар,CAZ
Кованьяма,KWM
Коконат-Айленд,CNC
Колак,XCO
Колларенебри,CRB
Колли,CIE
Коллинсвил,KCE
Кондоболин,CBX
Коома,OOM
Кордилло-Даунз,ODL
Короуа,CWW
Коррийонг,CYG
Коуари,CWR
Коуэлл,CCW
Кофс-Харбор,CFS
Коэн,CUQ
Крессвелл-Даунз,CSD
Кристмас-Крик,CXQ
Кройдон,CDQ
Крокер-Айланд,CKI
Кубер-Педи,CPD
Кубин-Айленд,KUG
Кудал,CUG
Куилпи,ULP
Куинда,CDA
Куинстаун,UEE
Куиринди,UIR
Куктаун,CTN
Кула,CLH
Кулаванья,COY
Кулата,KOH
Кулбурра,KKP
Кулгера,KGR
Кулиба,COB
Кунабарабран,COJ
Кунамбл,CNB
Кунибба,KQB
Куннамулла,CMA
Кунунурра,KNX
Курабье,CRJ
Курунди,KRD
Кутамундра,CMD
Кью,CUY
Кэттл-Крик,CTR
Клеф,CFK
Константина,CZL
Куба,KDF
Лагуат,LOO
Клагенфурт,KLU
Нахичевань,NAJ
Кабинда,CAB
Казомбо,CAV
Кангамба,CNZ
Капанда,KNP
Катумбела,CBT
Кафунфо,CFF
Квито-Кванавале,CTI
Куито,SVP
Лайтинг-Ридж,LHG
Латроуб,LTB
Лаура,LUU
Лаура-Стейшн,LUT
Леди-Эллиот-Айленд,LYT
Лейвертон,LVO
Лейк-Грегори,LGE
Лейклэнд-Даунз,LKD
Лейк-Нэш,LNH
Лей-Крик,LGH
