city_name,city_code
Санта-Фе,ZSH
Эль-Ариш,AAC
Квакертаун,UKT
Орапа,ORP
Маамигили,VAM
Сола,SLH
Эн-Наджаф,NJF
Ван Дон,VDO
Омаха,OMA
Салехард,SLY
Анапа,AAQ
Блэк Тикл,YBI
Умуарама,UMU
Гринвилл,GSP
Кабри Дар,ABK
,UMB
,XGU
Батагай,BQJ
Абуассо,ABO
Сан-Валли,SUN
Манчестер,MHT
Санкт-Галлен,ACH
Абиджан,ABJ
Упала,UPL
Андакомбе,ADC
Остров Нггатока,GTA
Рио Гранде,RIG
Прейри дю Чиен,PCD
Алма,AMN
,BEX
Пунта Де Маиси,UMA
Фэрмонт Хот Спрингс,YCZ
Арандис,ADI
Грандвью,GVW
,XHS
Руан,URO
Утрехт,UTC
Аргайл,GYL
Буэнос-Айрес,BUE
Паланга,KLJ
Олесунн,AES
Форт Олбани,YFA
Монто,MNQ
Абау,ABW
Валкеала,UTI
Казвин,GZW
Хайкоу,HAK
Ювалд,UVA
Анкоридж,ANC
Яварате,VAB
Ангорам,AGG
Загреб,ZAG
Агринион,AGQ
Арипуанан,AIR
Сиялкот,SKT
Худзон Бэй,YHB
Таклобан,TAC
Арак,AJK
Варжинья,VAG
Арвидсъяур,AJR
Чичжоу,JUH
Ломпок,LPC
Хаверфордуэст,HAW
Асахикава,AKJ
Анактавак,AKP
Акуливик,AKV
Валдоста,VLD
Милфорд-Саунд,MFN
Биг Бэй Марина,YIG
Ханус Бэй,HBC
Араука,AUC
Сазерем,TDS
Харбор Айленд,HBI
Халеб,ALP
Занага,ANJ
Планета Рики,PLC
Аленкер,ALT
Мфуве,MFU
Вануа-Мбалаву,VBV
Абингдон,VJI
Мейо,YMA
Александер Сити,ALX
Токороа,TKZ
Вахитахи,VHZ
Алитак,ALZ
Хобарт,HBR
Верджин-Горда,VIJ
Ам-Тиман,AMC
Каравари,AMG
Валле,VLE
Олсобип,OLQ
Амбон,AMQ
Вальенар,VLR
Антофагаста,ANF
Баимуру,VMU
Абу-Дейя,AOD
Аполо,APB
Тону,TON
Кимберли,YQE
Джеймстаун,HLE
Асапа,APP
Арикемис,AQM
Араукита,ARQ
Кенора,YQK
Тахуа,THZ
Роберваль,YRJ
Аляска,AQY
Тролльхеттан,THN
Трентон,YTR
Араджип,ARP
Асоса,ASO
Лонг Суканг,LSU
,XKG
Танунак,TNK
Вильявисенсио,VVC
Атток,ATG
Бакалалан,BKM
Турку,TKU
Алтамира,ATM
Санта-Крус-де-ла-Сьерра,SRZ
Альхесирас,AEI
Уотертаун (Южная Дакота),ATY
Шоал Коув,HCB
Авиано,AVB
Оватонна,OWA
Вака,WAC
Запорожье,OZH
Вана,WAF
Амбунти,AUJ
Уорик,WAZ
Бардуфосс,BDU
Эли,HCM
Остин,AUS
Тьюпело,TUP
Аврора,AUZ
Сьего де Авила,AVI
Тонопа,TPH
,QJY
Авиньон,AVN
Борджер,BGD
Уилкс-Барре,AVP
Измир,IZM
Холи-Кросс,HCR
Уинчестер,WGO
Бая Маре,BAY
Бембридж,BBP
Калькутта,CCU
Беребы,BBV
Тапактуан,TPK
Вангаратта,WGT
Баракоа,BCA
Ньюкасл,NTL
Наму,ZNU
Тальюквен,TQN
Брэдфорд,BDF
Аек Годанг,AEG
Хэйхэ,HEK
Бхаратпур,BHR
Бигл-Бэй,BEE
Вагау,WGU
Осорно,ZOS
Порт-о-Пренс,PAP
Курессааре,URE
Бэнбу,BFU
Тавеуни,TVU
Раунд Лейк,ZRJ
Биг-Крик,BGK
Серфдейл,WIK
Боулдер,WBU
Бейхан,BHN
Бернс,BNO
,ZTK
Уху,WHU
Брокен Хилл,BHQ
Москуэра,MQR
Ланкастер,WJF
Хельсинки,HEL
Бишо,BIY
Масбейт Сити,MBT
Беджая,BJA
Цусима,TSJ
Леон,BJX
Ванака,WKA
Беллингхем,BLI
Вакунаи,WKN
Меса,MSC
,JDR
Брукингс,BKX
Уолча,WLC
Манстон,MSE
Баруун-Урт,UUN
Бодайбо,ODO
Биллунн,BLL
Ханчжоу,HGH
Вивигани,VIV
Беллуно,BLX
Лоринг,WLR
Анаа,AAA
Белмаллет,BLY
Джолон,HGT
Боркум,BMK
Уоррнамбул,WMB
Баия Солано,BSC
Баганга,BNQ
Саричеф,WSF
Бремен,BRE
Мерса-Матрух,MUH
,NUW
Мадисон,MSN
Пику,PIX
Вашингтон,WSG
Васпан,WSP
Уайтфилд,HIE
Паяла,PJA
Аннаба,AAE
Васуа,WSA
Александер-Бей,ALJ
Хайбари,HIG
Уси,WUX
Блумингтон,BMI
Найлс,NLE
Нью Иберия,ARA
Уотервилл,WVL
Порт Каитума,PKM
Пунта Горда,PND
Борролоола,BOX
Твин Хилс,TWA
,XHO
Хониара,HIR
Василла,WWA
Пекапека,PKP
Мала Мала,AAM
Хиросима,HIJ
Уол Пасс,WWP
Порт-Линкольн,PLO
Беаланана,WBE
Бомонт,BPT
,ZHG
Боана,BNV
Хили Лейк,HKB
Ньюток,WWT
Палмерстон-Норт,PMR
Уашактун,UAX
Абердин,ABZ
Гонконг,HKG
Понта-Поран,PMG
Арката,ACV
Уайалла,WYA
Велшпул,WHL
Брест,BQT
,XUG
Пхукет,HKT
Андуло,ANL
Воджа,WJA
Хелена,HLN
Виндхам,WYN
Парамакотои,PMT
Аллакакет,AET
Порламар,PMV
,MKO
Нассау,NAS
Шапеко,XAP
Бурк,BRK
Пенг Лай,PNJ
Блаббер Бэй,XBB
Чаллис,CHL
Абу Муса,AEU
Ханты-Мансийск,HMA
Афтон,AFO
Хамар,HMR
Киллинек,XBW
Паук,PAU
Аден,ADE
Бирау,BRP
Джибо,XDJ
Бремерхафен,BRV
Броли,BWC
Селавик,WLK
Бардстаун,BRY
Пантеллерия,PNL
Афутара,AFT
Синчэн,XEN
Хемаван,HMV
Кветта,UET
Бенгела,BUG
Маммот Лейкс,MMH
Масамба,MXB
Тазиуасак,XEQ
Синин,XNN
Тасиилак,AGM
Альтбальсас,BSS
Батл Крик,BTL
Гонолулу,HNL
Пуна,PNQ
Подор,POD
Боа-Вишта,BVC
Цзиньчан,JIC
Хараре,HRE
Бальмаседа,BBA
Бельюга,BVU
Порт-Морсби,POM
Боулинг Грин,BWG
Клейтон,CAO
Ксангонго,XGN
Атиу,AIU
Хургада,HRG
Прешов,POV
Верона,VRN
Якуиба,BYC
Порт-Жантиль,POG
Лонгсюен,XLO
Сан Блас,NBL
Сиань,SIA
Черрабан,CBC
Виенгксай,VNG
Лилль,LIL
Каукира,CDD
Новый Орлеан,MSY
