Country,Code
Австралия,AU
Австрия,AT
Азербайджан,AZ
Албания,AL
Алжир,DZ
Американское Самоа,AS
Ангилья,AI
Ангола,AO
Андорра,AD
Антигуа и Барбуда,AG
Антильские острова,AN
Аргентина,AR
Армения,AM
Аруба,AW
Афганистан,AF
Багамские острова,BS
Бангладеш,BD
Барбадос,BB
Бахрейн,BH
Беларусь,BY
Белиз,BZ
Бельгия,BE
Бенин,BJ
Бермуды,BM
Болгария,BG
Боливия,BO
Босния и Герцеговина,BA
Ботсвана,BW
Бразилия,BR
Британская Территория Индийского океана,IO
Британские Виргинские острова,VG
Бруней,BN
Буркина-Фасо,BF
Бурунди,BI
Бутан,BT
Вануату,VU
Ватикан,VA
Великобритания,GB
Венгрия,HU
Венесуэла,VE
Виргинские острова,VI
Вьетнам,VN
Габон,GA
Гаити,HT
Гайана,GY
Гамбия,GM
Гана,GH
Гваделупа,GP
Гватемала,GT
Гвинея,GN
Гвинея-Бисау,GW
Германия,DE
Гибралтар,GI
Голландия,NL
Гондурас,HN
Гонконг,HK
Гренада,GD
Гренландия,GL
Греция,GR
Грузия,GE
Гуам,GU
Дания,DK
Демократическая Республика Конго,CD
Джибути,DJ
Доминика,DM
Доминиканская республика,DO
Египет,EG
Замбия,ZM
Зимбабве,ZW
Израиль,IL
Индия,IN
Индонезия,ID
Иордания,JO
Ирак,IQ
Иран,IR
Ирландия,IE
Исландия,IS
Испания,ES
Италия,IT
Йемен,YE
Кабо-Верде,CV
Казахстан,KZ
Каймановы острова,KY
Камбоджа,KH
Камерун,CM
Канада,CA
Катар,QA
Кения,KE
Кипр,CY
Кирибати,KI
Китай,CN
Кокосовые острова,CC
Колумбия,CO
Коморские острова,KM
Коста-Рика,CR
Кот-д'Ивуар,CI
Куба,CU
Кувейт,KW
"Кука, острова",CK
Кыргызстан,KG
Лаос,LA
Латвия,LV
Лесото,LS
Либерия,LR
Ливан,LB
Ливия,LY
Литва,LT
Лихтенштейн,LI
Люксембург,LU
Маврикий,MU
Мавритания,MR
Мадагаскар,MG
Майотте,YT
Макао,MO
Македония,MK
Малави,MW
Малайзия,MY
Мали,ML
Мальдивы,MV
Мальта,MT
Марокко,MA
Мартиника,MQ
Маршалловы острова,MH
Мексика,MX
Мидуэй атолл,UM
Микронезия,FM
Мозамбик,MZ
Молдова,MD
Монако,MC
Монголия,MN
Монтсеррат,MS
Мьянма,MM
Намибия,NA
Науру,NR
Непал,NP
Нигер,NE
Нигерия,NG
Нидерланды,NL
Никарагуа,NI
Ниуэ,NU
Новая Зеландия,NZ
Новая Каледония,NC
Норвегия,NO
"Норфолк, остров",NF
ОАЭ,AE
Оман,OM
Пакистан,PK
Палау,PW
Палестина,PS
Панама,PA
Папуа-Новая Гвинея,PG
Парагвай,PY
Перу,PE
Питкэрн,PN
Полинезия,PF
Польша,PL
Португалия,PT
Пуэрто-Рико,PR
Республика Конго,CG
Реюньон,RE
"Рождества, остров",CX
Россия,RU
Руанда,RW
Румыния,RO
Сальвадор,SV
Самоа,WS
Сан-Марино,SM
Сан-Томе и Принсипи,ST
Саудовская Аравия,SA
Свазиленд,SZ
"Святой Елены, остров",SH
Северная Корея,KP
Северные Марианские острова,MP
Сейшеллы,SC
Сенегал,SN
Сен-Пьер и Микелон,PM
Сент-Винсент и Гренадины,VC
Сент-Киттс и Невис,KN
Сент-Люсия,LC
Сербия,RS
Сербия и Черногория,YU
Сингапур,SG
Сирия,SY
Словакия,SK
Словения,SI
Соломоновы острова,SB
Сомали,SO
Судан,SD
Суринам,SR
США,US
Сьерра-Леоне,SL
Таджикистан,TJ
Таиланд,TH
Тайвань,TW
Танзания,TZ
Тёркс и Кайкос,TC
Тимор-Лесте,TL
Того,TG
"Токелау, острова",TK
Тонга,TO
Тринидад и Тобаго,TT
Тувалу,TV
Тунис,TN
Туркменистан,TM
Турция,TR
Уганда,UG
Узбекистан,UZ
Украина,UA
"Уоллис и Футуна, острова",WF
Уругвай,UY
"Уэйк, остров",UW
Фарерские острова,FO
Фиджи,FJ
Филиппины,PH
Финляндия,FI
Фолклендские острова,FK
Франция,FR
Французская Гвиана,GF
Французские Южные и Антарктические владения,TF
Хорватия,HR
"Хэрда и МакДональда, острова",HM
Центрально-Африканская Республика,CF
Чад,TD
Черногория,ME
Чехия,CZ
Чили,CL
Швейцария,CH
Швеция,SE
Шри-Ланка,LK
Эквадор,EC
Экваториальная Гвинея,GQ
Эритрея,ER
Эстония,EE
Эфиопия,ET
ЮАР,ZA
Южная Корея,KR
Южные Сандвичевы острова,GS
Ямайка,JM
Япония,JP
